Building,Address,City,State,Units,Stage,Opens,Sold,Buyer,Developer,Office phone,Source,Source URL
Building Permit,98 Red River St,Austin,Texas,603,permitted,,,,,,City permit record,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13443543
Building Permit,1010 Springdale Rd,Austin,Texas,585,permitted,,,,,,City permit record,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13278370
South Lamar Multifamily,2700 South Lamar Boulevard,Austin,Texas,399,under construction,2029-02-01,,,"Seamless LMA, Ltd",8-773-367-2410,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016806
Crystal Bend Apartments,2313 & 2405 Crystal Bend Drive,Pflugerville,Texas,390,planned,,,,,,State permit data,https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/HTCPropertyInventory_2.xlsx
Centerpoint Commons,SWQ Centerpoint Road and Commercial Loop,San Marcos,Texas,363,planned,,,,,,State permit data,https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/HTCPropertyInventory_2.xlsx
Belmont Apartments,4401 E Slaughter Lane,Austin,Texas,348,under construction,2027-04-30,,,Belmont Apartments Ltd.,(913) 439-8117,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025001200
Cameron-Yager Multifamily,4915 E. Yager Lane,Manor,Texas,336,under construction,2028-01-16,,,Cameron Road Apartments Ltd.,(216) 584-0613,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025024076
Tower Road Apartments,12200 Tower Road,Manor,Texas,324,planned,,,,,,State permit data,https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/HTCPropertyInventory_2.xlsx
Maxwell Hwy 21 Apartments,3966 FM 1966,Maxwell,Texas,312,planned,,,,,,State permit data,https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/HTCPropertyInventory_2.xlsx
The Springs Apartments,approx. SEC of IH‐35 & Aquarena Springs Dr.,San Marcos,Texas,304,planned,,,,,,State permit data,https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/HTCPropertyInventory_2.xlsx
Dessau Apartments,10701 Dessau Rd,Austin,Texas,300,under construction,2027-11-01,,,"OHT Dessau, LP",(512) 438-9715,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025011047
William Cannon Apartments,FM Rd 1625,Austin,Texas,276,under construction,2028-04-01,,,Bradley Carol Ann C Trust,(325) 218-2182,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026004733
Ed Bluestein Multifamily Apartments,7009 Ed Bluestein Bouelvard,Austin,Texas,263,planned,,,,,,State permit data,https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/HTCPropertyInventory_2.xlsx
Northside Village,350 Hwy 195,Georgetown,Texas,250,planned,,,,,(214) 960-1158,State permit data,https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/HTCPropertyInventory_2.xlsx
Building Permit,512 Sabine St,Austin,Texas,232,permitted,,,,,,City permit record,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13641646
Building Permit,1124 Clayton Ln,Austin,Texas,227,permitted,,,,,,City permit record,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13583283
Building Permit,8440 Burnet Rd Bldg 2,Austin,Texas,180,permitted,,,,,,City permit record,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13481444
Building Permit,2300 Kramer Ln Bldg 2,Austin,Texas,180,permitted,,,,,,City permit record,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13503547
Building Permit,1310 Lbj Way Unit Fw3,Austin,Texas,178,permitted,,,,,,City permit record,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13356354
Paytom Gin Apartments,1800 Payton Gin Road,Austin,Texas,176,planned,,,,,,State permit data,https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/HTCPropertyInventory_2.xlsx
Building Permit,2631 Kramer Ln Unit Fw3,Austin,Texas,159,permitted,,,,,,City permit record,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13762352
Building Permit,10728 Burnet Rd,Austin,Texas,154,permitted,,,,,,City permit record,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12133529
Building Permit,1013 Montopolis Dr,Austin,Texas,150,permitted,,,,,,City permit record,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13537932
The Katy,601 West 2nd Street,Elgin,Texas,150,planned,,,,,,State permit data,https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/HTCPropertyInventory_2.xlsx
Building Permit,1820 Estancia Pkwy Bldg 1,Austin,Texas,148,permitted,,,,,,City permit record,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13739653
Building Permit,2610 Hume Pl,Austin,Texas,142,permitted,,,,,,City permit record,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13412408
Building Permit,823 Tillery St,Austin,Texas,120,permitted,,,,,,City permit record,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13597483
Building Permit,4512 Denali Summit Dr,Austin,Texas,108,permitted,,,,,,City permit record,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13522988
Building Permit,1420 E Howard Ln Bldg 3,Austin,Texas,108,permitted,,,,,,City permit record,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13609128
Building Permit,2730 E 7th St,Austin,Texas,105,permitted,,,,,,City permit record,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13596729
Bailey at Stassney,400 W Stassney Lane,Austin,Texas,104,planned,,,,,,State permit data,https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/HTCPropertyInventory_2.xlsx
Building Permit,6405 Berkman Dr,Austin,Texas,104,permitted,,,,,,City permit record,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13651286
Building Permit,5516 Humming Bird Ln,Austin,Texas,104,permitted,,,,,,City permit record,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13654987
Burleson Studios,7905 Burleson Road,Austin,Texas,104,planned,,,,,,State permit data,https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/HTCPropertyInventory_2.xlsx
Building Permit,1326 Lamar Square Dr,Austin,Texas,101,permitted,,,,,,City permit record,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13689848
Building Permit,8413 Southwest Pkwy Bldg 1,Austin,Texas,94,permitted,,,,,,City permit record,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13584191
Building Permit,8700 Shoal Creek Blvd Bldg Tnfm1,Austin,Texas,93,permitted,,,,,,City permit record,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13416076
The Maven,618 E. Highland Mall Boulevard,Austin,Texas,83,planned,,,,,,State permit data,https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/HTCPropertyInventory_2.xlsx
Building Permit,6410 FM 969 Rd,Austin,Texas,80,permitted,,,,,,City permit record,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13610038
Building Permit,2545 Brockton Dr,Austin,Texas,75,permitted,,,,,,City permit record,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13587841
Building Permit,5901 S Pleasant Valley Rd,Austin,Texas,75,permitted,,,,,,City permit record,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13590354
Sycamores at Pleasant Valley,5900 South Pleassant Valley,Austin,Texas,75,planned,,,,,,State permit data,https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/HTCPropertyInventory_2.xlsx
Building Permit,4208 Medical Pkwy,Austin,Texas,70,permitted,,,,,,City permit record,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13549268
Building Permit,800 E St Johns Ave Bldg 2,Austin,Texas,70,permitted,,,,,,City permit record,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13735907
Ovetta Rosedale,4202-4210 Medical Pkwy,Austin,Texas,70,planned,,,,,,State permit data,https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/HTCPropertyInventory_2.xlsx
Building Permit,2213 Poquito St,Austin,Texas,67,permitted,,,,,,City permit record,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13574446
Jordan II Apartments,2701 1/2 Philomena St.,Austin,Texas,66,planned,,,,,,State permit data,https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/HTCPropertyInventory_2.xlsx
Building Permit,1720 Lawrence St,Austin,Texas,64,permitted,,,,,,City permit record,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13580092
Rowen Vale,206 E Annie Street,Austin,Texas,64,planned,,,,,,State permit data,https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/HTCPropertyInventory_2.xlsx
Building Permit,1501 Airport Commerce Dr Bldg 1,Austin,Texas,60,permitted,,,,,,City permit record,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13435385
Building Permit,4215 S Lamar Blvd Svrd Nb,Austin,Texas,58,permitted,,,,,,City permit record,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13405993
The Bloom at Lamar Square,1326 + 1328 Lamar Square Drive,Austin,Texas,58,planned,,,,,512-610-4016,State permit data,https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/HTCPropertyInventory_2.xlsx
Building Permit,7501 Cota Vista Dr Bldg 1,Austin,Texas,54,permitted,,,,,,City permit record,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13515364
Building Permit,7009 Ed Bluestein Blvd Svrd Nb Bldg 4,Austin,Texas,52,permitted,,,,,,City permit record,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13428560
Pine Creek Apartments,Hwy 71 & Lovers Lane (~108 Lovers Lane),Bastrop,Texas,52,planned,,,,,,State permit data,https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/HTCPropertyInventory_2.xlsx
Pine Creek Senior Living,"Lovers Lane, Bastrop, TX 78602",Bastrop,Texas,52,under construction,2027-07-30,,,"Pine Creek Bastrop, LP",(214) 336-7495,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026007055
Building Permit,1600 Wheless Ln,Austin,Texas,50,permitted,,,,,,City permit record,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13664787
Building Permit,7817 W SH 71 Bldg 2,Austin,Texas,49,permitted,,,,,,City permit record,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13626079
Building Permit,6125 Johnny Morris Rd Bldg 5,Austin,Texas,48,permitted,,,,,,City permit record,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13512287
Building Permit,7504 Cota Vista Dr Bldg 7,Austin,Texas,44,permitted,,,,,(210) 771-4127,City permit record,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13416147
Building Permit,13300 Center Lake Dr Bldg 1,Austin,Texas,42,permitted,,,,,,City permit record,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13742902
Building Permit,2915 E Cesar Chavez St,Austin,Texas,39,permitted,,,,,,City permit record,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13597249
The Lenora,4507 Menchaca Rd,Austin,Texas,39,planned,,,,,,State permit data,https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/HTCPropertyInventory_2.xlsx
Building Permit,1101 Reinli St Bldg 2C,Austin,Texas,32,permitted,,,,,,City permit record,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12855369
Building Permit,6915 Bridge Point Pkwy Bldg 9,Austin,Texas,30,permitted,,,,,,City permit record,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13623496
Building Permit,7333 Bluff Springs Rd Bldg 2,Austin,Texas,26,under construction,2027-02-01,,,"RPMD 7333 Bluff Springs Road Owner, LLC",(512) 762-9541,City permit record,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13748404
Building Permit,845 Blackson Ave,Austin,Texas,25,permitted,,,,,,City permit record,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13735916
Building Permit,4605 S Pleasant Valley Rd Bldg 3,Austin,Texas,24,permitted,,,,,,City permit record,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13441080
Building Permit,5925 E Howard Ln Bldg 4,Austin,Texas,24,permitted,,,,,,City permit record,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13400759
Building Permit,10304 Old San Antonio Rd Bldg 4,Austin,Texas,24,permitted,,,,,,City permit record,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13472259
Building Permit,11901 Dionda Ln Bldg 1,Austin,Texas,24,permitted,,,,,,City permit record,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13197738
Building Permit,2500 Rosewood Ave,Austin,Texas,23,permitted,,,,,,City permit record,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13301965
1401 South Lamar Multifamily and Garage,1401 S Lamar,Austin,Texas,,under construction,2025-09-01,,,Seamless SOLA I LP,(512) 330-9502,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025025389
3810 Transportation Way Unit 329 - PLAN 3B,3810 Transportation Way Apt 329,San Marcos,Texas,,permitted,,,,,,City of San Marcos building permits,https://www.sanmarcostx.gov/254/Building-Permits
E. MLK Apartment,4810 E. MLK Blvd,Austin,Texas,,under construction,2027-12-01,,,2654 Imperial Crossing LLC,(281) 296-2367,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010049
Epitome Thaxton Multi-Family,8318 Thaxton Rd,Austin,Texas,,under construction,2026-08-30,,,Epitome Development,(281) 216-9630,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025010869
HELU Blanco Trace Multifamily / The Entrada at San Marcos Bldg 1,428 Ivory St BLDG 1,San Marcos,Texas,,permitted,,,,,,City of San Marcos building permits,https://www.sanmarcostx.gov/254/Building-Permits
Moontower Flats,1910 E Martin Luther King Jr Blvd,Austin,Texas,,under construction,2027-07-31,,,Building/Facility Owner: Texas State Affordable Housing Corporation,(512) 477-3562,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020604
Oak Springs Apartments,2900 Oak Springs,Austin,Texas,,under construction,2028-10-31,,,2900 Oak Springs Horizontal Investors LP,(512) 774-4750,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026007992
Oak Street Family Multi-Family,401 E Oak Street,Granger,Texas,,under construction,2028-04-01,,,Hyo Sop Kim,(512) 565-0980,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026015953
